"SubID","Block","Trial","Condition","TestDuration","Long","Exp"
"1",4,65,"Sac-Gap",500,0,"Exp1"
"1",4,66,"Sac-Gap",375,0,"Exp1"
"1",4,67,"Sac-Gap",750,1,"Exp1"
"1",4,68,"Sac-Gap",125,0,"Exp1"
"1",4,70,"Sac-Gap",875,1,"Exp1"
"1",4,71,"Sac-Gap",250,0,"Exp1"
"1",4,72,"Sac-Gap",250,0,"Exp1"
"1",4,73,"Sac-Gap",125,0,"Exp1"
"1",4,74,"Sac-Gap",500,1,"Exp1"
"1",4,75,"Sac-Gap",125,0,"Exp1"
"1",4,76,"Sac-Gap",375,1,"Exp1"
"1",4,77,"Sac-Gap",125,0,"Exp1"
"1",4,78,"Sac-Gap",500,1,"Exp1"
"1",4,79,"Sac-Gap",625,0,"Exp1"
"1",4,80,"Sac-Gap",375,0,"Exp1"
"1",4,81,"Sac-Gap",250,0,"Exp1"
"1",4,82,"Sac-Gap",625,1,"Exp1"
"1",4,83,"Sac-Gap",375,0,"Exp1"
"1",4,84,"Sac-Gap",875,0,"Exp1"
"1",4,85,"Sac-Gap",625,1,"Exp1"
